Country or area,AgeGroup,Sex,Divorced,Married,Other,Widowed
Egypt,[45-49],Women,2.195447185446233,82.14115630060007,1.0667682636441498,14.596628250309553
Egypt,[50-54],Men,0.6232207432484419,96.0760175425098,1.1925829037470237,2.1081788104947297
Egypt,[50-54],Women,1.707298315773283,72.12181804199031,1.322771668076598,24.84811197415981
Egypt,[55-59],Men,0.5461118375509577,95.16960233828168,1.084531959080067,3.1997538650873016
Egypt,[55-59],Women,1.4845011922159836,63.741250673025164,1.2922082916698514,33.482039843089
Egypt,[60-64],Men,0.477106579453636,92.12774143901501,1.0311658330126932,6.363986148518662
Egypt,[60-64],Women,1.3385645049619204,47.603661820140005,1.2693284098776871,49.788445265020385
Egypt,[65+],Men,0.44999999999999996,80.05,4.75,14.75
Egypt,[65+],Women,0.8500000000000001,23.35,4.75,71.05
France,[15-19],Men,0.0,0.34241386624647735,99.65758613375353,0.0
France,[15-19],Women,0.02353010382658314,5.682520074119828,94.28806729609694,0.005882525956645785
France,[20-24],Men,0.6082995389145048,17.8462307649575,81.54269207266263,0.0027776234653630358
France,[20-24],Women,0.7675053374050752,32.92165500094587,66.21895521984703,0.09188444180201605
France,[25-29],Men,1.5885799983336575,48.9654789346516,49.373732885272304,0.07220818174243897
France,[25-29],Women,2.7240298346124745,60.255648038049934,36.73656901956546,0.28375310777213275
France,[30-34],Men,3.48246271765392,67.20264378349857,29.153822655447243,0.16107084340026107
France,[30-34],Women,4.828555216298738,72.5039855170364,22.032478586289827,0.6349806803750438
France,[35-39],Men,4.913206499097348,74.29801416469934,20.502707957228182,0.28607137897514234
France,[35-39],Women,6.461114413878831,76.52542830892288,15.808247311246816,1.2052099659514675
France,[40-44],Men,5.879412336490127,77.47382453411836,16.096870053045237,0.549893076346266
France,[40-44],Women,7.595449755464887,77.65138209624686,12.499662244318955,2.253505903969305
France,[45-49],Men,6.348060314903779,79.10083030185221,13.529199411291003,1.0219099719530143
France,[45-49],Women,7.824277956393698,77.67541134196094,10.372031448410013,4.12827925323535
France,[50-54],Men,6.040776757853918,80.87188342573238,11.318125359750368,1.769214456663334
France,[50-54],Women,7.428100923366465,76.16008939598895,8.792566017761558,7.619243662883021
France,[55-59],Men,5.480821668787493,81.70635642004484,9.937587105374774,2.875234805792886
France,[55-59],Women,6.7439192964912795,72.36845975118379,8.179171200847023,12.708449751477897
France,[60-64],Men,4.699003241736601,81.62208016481353,9.040506559214705,4.638410034235163
France,[60-64],Women,5.865576855227568,66.26778783958603,7.9765964953545705,19.890038809831825
France,[65+],Women,0.0,97.4,2.5999999999999943,0.0
India,[15-19],Men,0.058313895368210605,46.26791069643452,53.615461512829064,0.058313895368210605
India,[15-19],Women,0.1866791119407961,68.08453896926461,31.60877391826122,0.12000800053336891
India,[20-24],Men,0.20831597366886095,62.39480043329723,37.16356970252479,0.23331389050912427
India,[20-24],Women,0.5066328911405906,88.57409506032931,10.399306712885803,0.5199653356442904
India,[25-29],Men,0.3915687744730484,83.04590519036907,16.0709822544364,0.49154378072148636
India,[25-29],Women,0.7530823058980339,94.62179273575475,3.3788737087637486,1.246251249583472
India,[30-34],Men,0.35000000000000003,94.28999999999999,4.40000000000002,0.96
India,[30-34],Women,0.5538461538461539,94.98461538461538,1.5769230769230802,2.8846153846153846
India,[35-39],Men,0.3199040287913626,96.16115165450364,2.149355193441977,1.3695891232630208
India,[35-39],Women,0.5230769230769231,93.01538461538462,1.3615384615384585,5.1
India,[40-44],Men,0.3000300030003,95.76957695769578,1.700170017001696,2.23022302230223
India,[40-44],Women,0.4691225101899562,89.31015919403215,1.3766053987541227,8.844112897023763
India,[45-49],Men,0.27002700270027,95.2095209520952,1.4001400140014084,3.12031203120312
India,[45-49],Women,0.43090181594336713,85.5493998153278,1.0772545398584015,12.942443828870424
India,[50-54],Men,0.2333851967103801,92.898421871527,1.4225383418537376,5.445654589908869
India,[50-54],Women,0.4443950672147539,75.59160093322964,0.8776802577491338,23.086323741806467
India,[55-59],Men,0.23325558147284242,91.24736199044763,1.2884594024214095,7.230923025658114
India,[55-59],Women,0.3665037760995113,71.90137716570413,0.7663260772989844,26.96579298089738
India,[60-64],Men,0.22219753360737696,86.83479613376292,1.444283968447948,11.498722364181758
India,[60-64],Women,0.344367918240391,52.89935569873361,0.7998222617196262,45.95645412130637
Indonesia,[15-19],Men,0.17998800079994665,35.1643223785081,64.58902739817344,0.06666222251849876
Indonesia,[15-19],Women,0.995565602991044,60.29910442570211,38.51404225719503,0.19128771411181636
Indonesia,[20-24],Men,0.9332089054792695,52.86628449540062,45.960538594854015,0.23996800426609785
Indonesia,[20-24],Women,2.3518671477633353,79.8852323609964,17.17167326000957,0.5912272312307091
Indonesia,[25-29],Men,1.3661202185792352,79.10169265627083,19.11901905904304,0.41316806610689055
Indonesia,[25-29],Women,2.899621788462375,90.10563839499196,5.955744902838774,1.0389949137069079
Indonesia,[30-34],Men,1.452945881098374,91.79552119434818,6.211676886163687,0.5398560383897627
Indonesia,[30-34],Women,3.2824659797400115,92.44815442806835,2.4085909308290923,1.8607886613625495
Indonesia,[35-39],Men,1.2597480503899217,95.4475771512364,2.6128107711791273,0.679864027194561
Indonesia,[35-39],Women,3.512585314958918,91.75324957614222,1.4215537103856235,3.312611398513237
Indonesia,[40-44],Men,1.2327580462450856,96.08849203704938,1.5059638835210336,1.172786033184514
Indonesia,[40-44],Women,4.104347826086957,88.26956521739132,1.095652173913038,6.530434782608695
Indonesia,[45-49],Men,1.0666666666666664,96.20666666666666,1.066666666666677,1.6599999999999997
Indonesia,[45-49],Women,4.52036336767071,83.56587125657408,0.9084191767722842,11.005346198982918
Indonesia,[50-54],Men,1.119701412956545,94.8813649693415,0.9264196214342917,3.0725139962676624
Indonesia,[50-54],Women,4.271624683459949,72.81087564974011,0.9996001599360227,21.91789950686392
Indonesia,[55-59],Men,1.106905663072199,93.3585660215668,0.8283939155895155,4.706134399771479
Indonesia,[55-59],Women,4.285523860303918,64.21620901093041,0.8731005065315856,30.62516662223407
Indonesia,[60-64],Men,1.2140255659501535,89.73791330429194,0.7641219738627427,8.283939155895165
Indonesia,[60-64],Women,4.198880298587043,48.26712876566249,0.8131165022660696,46.7208744334844
Iran,[15-19],Men,0.07496251874062969,3.910544727636182,95.93953023488255,0.07496251874062969
